productoid,nombre,referencia,ean13,ingreso,costo,contribucion,ventana_dias,servidor_sync
"000115","TOMATE GUISO KILO","","115",5884775.0000,3390591.0834,2494183.9166,30,"192.168.123.231"
"011555","ESMERALDA 1100ML ENTERA 6U","","7707346000451",4534400.0000,3224520.0000,1309880.0000,30,"192.168.123.231"
"000042","PAPA PASTUSA KILO","","42",3875010.0000,2040559.0734,1834450.9266,30,"192.168.123.231"
"000063","PAPAYA MARADOL KILO","","63",3770383.5000,1029907.5762,2740475.9238,30,"192.168.123.231"
"000008","PLATANO HARTON KILO","","8",3609291.0000,2064198.8842,1545092.1158,30,"192.168.123.231"
"003443","ALQUERIA 1300ML DESLACTOSADA 6U","","7702177009659",3552050.0000,3427895.2899,124154.7101,30,"192.168.123.231"
"000021","LIMON COMUN KILO","","21",3228332.5000,2514989.8481,713342.6519,30,"192.168.123.231"
"000056","ZANAHORIA KILO","","56",2909541.0000,2135678.2348,773862.7652,30,"192.168.123.231"
"000033","NARANJA PAQUETE","","33",2786950.0000,2306709.0780,480240.9220,30,"192.168.123.231"
"000161","BANANO KILO","","161",2664693.0000,1049959.3997,1614733.6003,30,"192.168.123.231"
"000083","MANGO TOMY KILO","","83",2359904.5000,1522411.8725,837492.6275,30,"192.168.123.231"
"000084","MANGO COMUN AZUCAR KILO","","84",2300741.0000,1661834.5817,638906.4183,30,"192.168.123.231"
"016330","HUEVO DOBLEO 60U A","","7709291464661",2219400.0000,1979060.1220,240339.8780,30,"192.168.123.231"
"000116","CEBOLLA CABEZ BLANCA KILO","","116",2205142.5000,1682749.4847,522393.0153,30,"192.168.123.231"
"000142","AGUCATE KILO","","142",2145528.0000,1716091.9000,429436.1000,30,"192.168.123.231"
"000081","AGUCATE HASS","","81",2128083.0000,1819880.9646,308202.0354,30,"192.168.123.231"
"030464","HUEVO QUERIE EXTRA 30U","","20221609201795",2005640.0000,1493398.6555,512241.3445,30,"192.168.123.231"
"000020","LULO KILO","","20",1996302.0000,1422202.7892,574099.2108,30,"192.168.123.231"
"000118","CEBOLLA LARGA KILO CON RAMA","","118",1981622.5000,1940916.0750,40706.4250,30,"192.168.123.231"
"018634","CAFE SELLO ROJO 425G","","7702032117833",1950750.0000,1636560.1638,314189.8362,30,"192.168.123.231"
"029834","SANTODOMINGO 900ML ENTERA 6U","","7708556683151",1880640.0000,1464832.4354,415807.5646,30,"192.168.123.231"
"000025","PIÑA GOLDE CON RAMA KILO","","25",1876056.0000,623346.8670,1252709.1330,30,"192.168.123.231"
"000041","PAPA CRIOLLA KILO","","41",1822050.0000,1374576.7644,447473.2356,30,"192.168.123.231"
"000143","PLATANO HARTON PAQUETE","","143",1809500.0000,1253772.8810,555727.1190,30,"192.168.123.231"
"012561","SANTODOMINGO 1100ML DESLACTOSADA 6U","","7708556683373",1773170.0000,1163971.5460,609198.4540,30,"192.168.123.231"
"000055","YUCA KILO","","55",1760640.0000,1017568.9640,743071.0360,30,"192.168.123.231"
"000032","MANDARINA ARRAYANA KILO","","32",1709136.5000,1247486.8280,461649.6720,30,"192.168.123.231"
"030863","HUEVO QUERIE A 30U","","20221609040691",1674470.0000,1536000.0000,138470.0000,30,"192.168.123.231"
"002963","ARROZ ROA 5KG","","7702552000516",1667600.0000,1476307.8750,191292.1250,30,"192.168.123.231"
"013905","DUCALES 5TAC 500G","","7702025149520",1659200.0000,1229365.6488,429834.3512,30,"192.168.123.231"
"004151","ARROZ DIANA 5KG","","7702511000045",1642600.0000,1369272.1398,273327.8602,30,"192.168.123.231"
"014689","CHOCOLATE CORONA 450G 18 PASTILLA","200045911","7702007084535",1636830.0000,1331928.1386,304901.8614,30,"192.168.123.231"
"000090","MARACUYA KILO","","90",1618882.0000,1171684.6467,447197.3533,30,"192.168.123.231"
"000173","GUAYABA PERA KILO","","173",1608337.5000,1160316.9996,448020.5004,30,"192.168.123.231"
"000024","PAPA PASTUSA BULTO","","24",1530000.0000,78937.2156,1451062.7844,30,"192.168.123.231"
"000001","CILANTRO PAQUETE","","1",1522500.0000,691327.0480,831172.9520,30,"192.168.123.231"
"022729","COLANTA 1100ML ENTERA 6U","","7702129003612",1494500.0000,1309402.5000,185097.5000,30,"192.168.123.231"
"026912","CAF AROMA 400G","","7702088207182",1459270.0000,1087801.8750,371468.1250,30,"192.168.123.231"
"000091","MELON CATALUPE KILO","","91",1450411.5000,517829.4225,932582.0775,30,"192.168.123.231"
"023456","ARROZ ROA 25LB 25U","","17702552000094",1438400.0000,1404480.8072,33919.1928,30,"192.168.123.231"
"015671","ACEITE VIVA SOYA 3LT","","7707549371075",1397200.0000,912561.1014,484638.8986,30,"192.168.123.231"
"000043","MANZANA BANDEJA VERDE 6UND","","43",1370600.0000,1216793.7565,153806.2435,30,"192.168.123.231"
"000164","MANZANA PAQUETE","","164",1361700.0000,930654.1296,431045.8704,30,"192.168.123.231"
"026933","ACEITE SURAY 3LT MEZCLA VEGETAL","","7707331900278",1360300.0000,1056766.3224,303533.6776,30,"192.168.123.231"
"002841","SALCHICHA RANCHERA 480G 14U","","7701101247266",1357000.0000,967106.1056,389893.8944,30,"192.168.123.231"
"027594","AVENA ALQUERIA AUTENTICA PRO 220ML VASO","","",1356600.0000,377493.8960,979106.1040,30,"192.168.123.231"
"024202","PAPA COSTAL 10LIBRAS","","24202",1354500.0000,1912173.8832,-557673.8832,30,"192.168.123.231"
"022909","ARROZ FLORHUILA 25LB 25U","","7702231000073",1334000.0000,1139772.4198,194227.5802,30,"192.168.123.231"
"024170","ALQUERIA 1300ML ORIGINAL 6U","","7702177022559",1318350.0000,989488.7616,328861.2384,30,"192.168.123.231"
"028104","YOGURT DEJAMU GRIEGO 1LT SIN AZUCAR","","7707365170623",1309000.0000,931693.7705,377306.2295,30,"192.168.123.231"
"002418","HUEVO DOBLEO 30U AA","","7709291464623",1308300.0000,1066499.2144,241800.7856,30,"192.168.123.231"
"023002","RECREO 1100ML ENTERA 6U","","7702369700067",1303400.0000,1091788.1276,211611.8724,30,"192.168.123.231"
"000079","ARVEJA DESGRANADA KILO","","79",1277085.0000,2744380.5185,-1467295.5185,30,"192.168.123.231"
"003223","FRIJOL SUDESPENSA 500G BOLA ROJA","","7707309250053",1270200.0000,1065478.6884,204721.3116,30,"192.168.123.231"
"000073","GUANABANA KILO","","73",1262537.5000,731500.0000,531037.5000,30,"192.168.123.231"
"018420","AGUACATE HASS BANDEJA","","18420",1208400.0000,834883.9652,373516.0348,30,"192.168.123.231"
"029320","HUEVO VIGOR EXTRA 30U","29320","7703039389179",1193010.0000,914437.7803,278572.2197,30,"192.168.123.231"
