REF,UNIDAD,MEDIDA,CANTIDAD
6678,FCO,Mililitro,5
11573,UND,Gramo,15
14139,UND,Mililitro,3125
21646,FCO,Mililitro,100
8257,FCO,Mililitro,400
6065,FCO,Mililitro,50
3613,FCO,Mililitro,100
3498,FCO,Mililitro,100
3499,FCO,Mililitro,100
3501,FCO,Mililitro,100
19209,UND,Mililitro,100
3503,FCO,Mililitro,300
6422,FCO,Mililitro,300
3500,FCO,Mililitro,300
3502,FCO,Mililitro,300
3882,OFE,Mililitro,300
3504,FCO,Mililitro,50
18589,FCO,Mililitro,3000
15327,FCO,Mililitro,3000
15328,FCO,Mililitro,5000
15317,FCO,Mililitro,2000
27450,UND,Mililitro,3000
11742,FCO,Mililitro,1000
14320,FCO,Mililitro,2500
21652,FCO,Mililitro,3000
20458,FCO,Mililitro,4000
9697,FCO,Mililitro,1000
3445,UND,Mililitro,1000
3980,FCO,Mililitro,3000
7048,FCO,Mililitro,3000
17773,FCO,Mililitro,2000
23657,FCO,Mililitro,2000
19650,FCO,Mililitro,3000
16675,FCO,Mililitro,2000
23388,FCO,Mililitro,2000
21089,FCO,Mililitro,3000
22934,FCO,Mililitro,3000
24955,OFE,Mililitro,3000
22935,FCO,Mililitro,900
20072,UND,Mililitro,900
15668,UND,Mililitro,900
25123,FCO,Mililitro,18000
17753,FCO,Mililitro,1800
24916,FCO,Mililitro,3000
19928,FCO,Mililitro,3000
20378,UND,Mililitro,2000
19909,FCO,Mililitro,2600
6436,UND,Mililitro,3000
6009,UND,Mililitro,1000
15716,OFE,Mililitro,2000
19605,OFE,Mililitro,3000
24147,FCO,Gramo,110
23267,FCO,Gramo,160
23268,FCO,Gramo,160
3558,UND,Mililitro,3600
25496,UND,Mililitro,1800
20924,FCO,Mililitro,250
25511,UND,Mililitro,2600
21069,FCO,Mililitro,360
11967,FCO,Mililitro,500
27366,FCO,Mililitro,500
11711,FCO,Mililitro,1000
25153,FCO,Mililitro,900
3559,UND,Mililitro,1800
3557,UND,Mililitro,900
24228,OFE,Mililitro,1000
26802,UND,Gramo,175
23447,FCO,Mililitro,2000
10929,FCO,Mililitro,1000
12401,FCO,Mililitro,3000
3470,UND,Mililitro,2000
18419,FCO,Gramo,115
15318,FCO,Mililitro,1000
15326,FCO,Mililitro,2000
17103,FCO,Mililitro,900
17464,FCO,Mililitro,900
18944,FCO,Mililitro,1420
3561,UND,Mililitro,1000
3562,UND,Mililitro,3000
5783,UND,Mililitro,1000
3550,UND,Mililitro,1000
21287,FCO,Mililitro,1000
16757,FCO,Mililitro,2700
3552,UND,Mililitro,3000
16525,FCO,Mililitro,900
10509,FCO,Mililitro,1000
8070,FCO,Mililitro,3000
15186,FCO,Mililitro,1000
14992,FCO,Mililitro,2000
14991,FCO,Mililitro,3000
15056,FCO,Mililitro,500
15012,FCO,Mililitro,5000
14993,FCO,Mililitro,900
25203,FCO,Mililitro,3000
7708,FCO,Mililitro,1000
7709,FCO,Mililitro,3000
23179,FCO,Mililitro,3000
6326,FCO,Mililitro,900
3554,UND,Mililitro,1900
3555,UND,Mililitro,3000
21548,FCO,Mililitro,5000
26142,UND,Mililitro,900
24035,UND,Mililitro,18000
20374,UND,Mililitro,18000
20786,UND,Mililitro,2000
7064,FCO,Mililitro,2000
15672,KIT,Mililitro,2700
15673,UND,Mililitro,2700
9723,FCO,Mililitro,2800
7061,FCO,Mililitro,3000
7062,FCO,Mililitro,500
11525,FCO,Mililitro,450
15670,KIT,Mililitro,5000
25594,FCO,Mililitro,500
7063,FCO,Mililitro,5000
7843,FCO,Mililitro,800
15669,KIT,Mililitro,900
13845,FCO,Mililitro,5000
13860,FCO,Mililitro,1000
15151,FCO,Mililitro,3000
26934,UND,Mililitro,18000
10947,FCO,Mililitro,1000
12870,FCO,Mililitro,2000
13227,FCO,Mililitro,3000
10946,FCO,Mililitro,5000
27467,UND,Mililitro,3000
10510,FCO,Mililitro,1000
17324,FCO,Mililitro,1000
19341,FCO,Mililitro,18000
17325,FCO,Mililitro,2000
17465,FCO,Mililitro,500
20834,FCO,Mililitro,2700
15671,UND,Mililitro,3000
25083,FCO,Mililitro,4500
21044,FCO,Mililitro,500
23453,FCO,Mililitro,500
17269,FCO,Mililitro,5000
7060,FCO,Mililitro,900
8165,FCO,Mililitro,3000
25313,FCO,Mililitro,3000
4358,FCO,Gramo,900
19993,FCO,Mililitro,240
25820,FCO,Mililitro,250
20826,FCO,Mililitro,120
3487,FCO,Mililitro,120
3488,FCO,Mililitro,120
6041,UND,Mililitro,500
7588,FCO,Mililitro,900
16407,FCO,Mililitro,130
19298,FCO,Mililitro,240
17293,FCO,Mililitro,60
25821,UND,Mililitro,360
26293,FCO,Mililitro,250
7783,FCO,Mililitro,120
