id_product_erp,id_product_mariadb,nombre_prestashop,nombre_erp,referencia,ean13,codigo_match,grupo_erp_nivel_1,grupo_erp_nivel_2,grupo_erp_nivel_4,grupo_erp_nivel_6,grupo_erp_nivel_7,grupo_prestashop,subgrupo_prestashop,unidad_erp,unidad_mariadb_inferida,factor_conversion_precio,inventario_erp_192_168_0_231,inventario_para_mariadb,inventario_mariadb,pendiente,final_sync,precio_mariadb,precio_erp,precio_para_mariadb,pum_fuente,pum_unidad,pum_ratio,pum_precio_unitario,otras_listas_precios_erp,servidor_sync,fecha_ultima_compra_erp,cantidad_ultima_compra_erp,valor_ultima_compra_erp,accion
"000176",1,"Tamarindo X500 gr","TAMARINDO KILO","176","176","176","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,26.12,52,27,0,52,5450.00,10900.00,5450.00,"PLANILLA_PUM","Gramo",1000.000000,5.450000,"Lista 1: 10900.00000000",192.168.0.231,"2026-06-16","20.00000000","7500.0000",ACTUALIZAR_STOCK
"016613",5,"Sandia X6000 Gramos","SANDIA KILO","16613","16613","16613","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","6000 G",6.000000,664.55,110,484,0,110,16800.00,2800.00,16800.00,"PLANILLA_PUM","Gramo",6000.000000,2.800000,"Lista 1: 2800.00000000",192.168.0.231,"2026-06-19","200.00000000","2300.0000",ACTUALIZAR_STOCK
"019530",6,"Nopal X500 gr","NOPAL KILO","19530","19530","19530","01 FRUTAS Y VERDURAS","0104 VERDURAS Y HORTALIZAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,98.31,196,98,0,196,2950.00,5900.00,2950.00,"PLANILLA_PUM","Gramo",500.000000,5.900000,"Lista 1: 5900.00000000",192.168.0.231,"2026-06-17","63.00000000","4000.0000",ACTUALIZAR_STOCK
"012653",8,"Fresa En Paquete","FRESA PAQUETE","12653","12653","12653","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Inicio","","PAQ","PAQ",1.000000,139,139,127,0,139,4300.00,4300.00,4300.00,"PRESTASHOP_EXISTENTE","Gramo",513.698630,8.370667,"Lista 1: 4300.00000000",192.168.0.231,"2026-06-19","57.00000000","3157.8947",ACTUALIZAR_STOCK_PUM
"000074",9,"Higo X500 gr","HIGO KILO","74","74","74","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Inicio","","KG","500 G",0.500000,18.51,37,18,0,37,6250.00,12500.00,6250.00,"PLANILLA_PUM","Gramo",500.000000,12.500000,"Lista 1: 12500.00000000",192.168.0.231,"2026-05-31","21.00000000","8000.0000",ACTUALIZAR_STOCK
"018081",10,"Mute Pelado Paquete X500gr","MUTE PELADO PAQUETE","18081","18081","18081","01 FRUTAS Y VERDURAS","0104 VERDURAS Y HORTALIZAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","PAQ","PAQ",1.000000,0,0,-7,0,0,2000.00,2000.00,2000.00,"PLANILLA_PUM","Gramo",500.000000,4.000000,"Lista 1: 2000.00000000",192.168.0.231,"2026-06-17","171.00000000","1400.0000",ACTUALIZAR_STOCK
"000119",11,"Limón Común Paquete En Malla","LIMON COMUN PAQ","119","119","119","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Inicio","","PAQ","PAQ",1.000000,0,0,0,0,0,6900.00,6900.00,6900.00,"PRESTASHOP_EXISTENTE","Gramo",1580.645161,4.365306,"Lista 1: 6900.00000000",192.168.0.231,"","","",ACTUALIZAR_PUM
"000036",12,"Piña Golden Sin Rama X1500gr","PIÑA GOLDEN SIN RAMA KILO","36","36","36","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","1500 G",1.500000,18.17,12,14,0,12,7500.00,5000.00,7500.00,"PLANILLA_PUM","Gramo",1500.000000,5.000000,"Lista 1: 5000.00000000",192.168.0.231,"","","",ACTUALIZAR_STOCK
"000080",13,"Papayuela X500 gr","PAPAYUELA KILO","80","80","80","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,150.65,301,147,0,301,3000.00,6000.00,3000.00,"PLANILLA_PUM","Gramo",500.000000,6.000000,"Lista 1: 6000.00000000",192.168.0.231,"2026-06-17","40.00000000","4000.0000",ACTUALIZAR_STOCK
"000070",14,"Freijoa X500 gr","FREIJOA KILO","70","70","70","01 FRUTAS Y VERDURAS","0101 FRUTAS","FRVE FRUTAS Y VERDURAS","FRUV FRUTAS Y VERDURAS","POFU PORTAFOLIO FRUVER","Frutas y Verduras","","KG","500 G",0.500000,198.88,397,197,0,397,4150.00,8300.00,4150.00,"PLANILLA_PUM","Gramo",1000.000000,4.150000,"Lista 1: 8300.00000000",192.168.0.231,"2026-06-17","40.00000000","4500.0000",ACTUALIZAR_STOCK
